game_no,Home_team,Away_team,half_time_score,home_score,away_score,home_odds,draw_odds,away_odds,game_id,outcome,home_wins,draws_no,away_wins,game_count,1/2
3,BOU,CHE,1-1,3,2,4.2,3.85,1.82,88,1,2,2,5,9,1
4,BUR,WOL,1-0,2,1,2.6,3.45,2.7,155,1,4,1,2,7,1
5,EVE,CRY,0-0,1,1,2.14,3.55,3.35,231,x,5,3,1,9,0
6,FUL,BHA,0-1,2,1,3.4,3.7,2.08,260,1,3,1,3,7,1
7,MCI,MUN,0-0,1,0,1.86,4.3,3.65,139,1,5,3,0,8,1
8,NEW,WHU,1-1,2,2,1.91,3.9,3.75,168,x,2,2,2,6,0
9,NOT,BRE,0-2,0,3,2.6,3.55,2.65,56,2,4,2,1,7,1
10,SHU,LIV,0-2,0,3,3.9,4.1,1.83,196,2,3,1,4,8,1
1,ARS,NOT,1-1,3,2,1.39,5.25,7.25,311,1,3,1,0,4,1
2,BHA,AST,0-0,1,0,2.08,3.75,3.35,193,1,6,1,3,10,1
3,BOU,LIV,0-0,0,2,4.05,4.15,1.8,333,2,1,1,2,4,1
4,BUR,NEW,0-0,0,0,3.85,3.8,1.92,119,x,2,2,4,8,0
5,CRY,CHE,1-1,1,4,2.95,3.7,2.3,234,2,2,0,2,4,1
6,LUT,BRE,0-0,1,0,3.0,3.35,2.4,214,1,3,0,0,3,1
7,MCI,WOL,1-1,1,1,1.48,4.7,6.25,76,x,4,4,1,9,0
8,MUN,EVE,2-0,2,1,1.69,4.2,4.65,130,1,4,1,1,6,1
9,SHU,FUL,1-0,1,1,2.45,3.5,2.85,95,x,1,1,2,4,0
10,WHU,TOT,0-1,0,2,2.35,3.7,2.85,292,2,1,4,2,7,1
1,ARS,BRE,3-0,5,2,1.63,4.15,5.25,301,1,2,1,0,3,1
2,BOU,FUL,1-0,1,1,2.5,3.5,2.8,210,x,2,3,2,7,0
3,LIV,CRY,3-0,4,1,1.63,4.5,4.7,213,1,6,2,0,8,1
4,LUT,BHA,0-0,2,0,4.15,3.8,1.85,128,1,3,2,1,6,1
5,MUN,CHE,0-1,1,1,2.09,4.0,3.15,331,x,2,1,1,4,0
6,NEW,MCI,2-0,2,0,2.4,3.85,2.75,263,1,3,1,1,5,1
7,NOT,WHU,1-0,3,0,3.1,3.75,2.19,267,1,3,1,1,5,1
8,SHU,AST,0-0,0,1,3.75,3.7,1.96,158,2,3,0,3,6,1
9,TOT,BUR,2-0,2,2,1.48,4.6,6.5,197,x,1,2,3,6,0
10,WOL,EVE,1-2,1,2,2.45,3.4,2.95,182,2,4,2,5,11,1
1,BHA,SHU,2-2,3,2,1.47,4.55,6.75,218,1,5,0,1,6,1
2,BOU,LUT,0-1,1,3,2.17,3.5,3.35,135,2,2,1,5,8,1
3,BUR,ARS,1-0,2,0,4.2,3.95,1.8,349,1,2,1,1,4,1
4,CHE,NEW,0-0,2,0,2.07,3.85,3.3,3,1,4,0,0,4,1
5,CRY,AST,1-0,2,0,2.75,3.65,2.45,334,1,3,0,1,4,1
6,EVE,TOT,0-0,0,2,2.75,3.55,2.5,45,2,2,3,2,7,1
7,MCI,NOT,2-0,3,0,1.34,5.75,8.0,94,1,4,1,1,6,1
8,MUN,FUL,1-0,3,2,1.47,4.9,6.0,122,1,7,0,0,7,1
9,WHU,BRE,1-0,2,0,1.91,3.65,4.0,49,1,6,1,1,8,1
10,WOL,LIV,0-3,1,4,3.05,3.9,2.17,345,2,2,0,2,4,1
1,BHA,NEW,0-0,0,0,2.15,3.75,3.2,253,x,2,1,2,5,0
2,BOU,WOL,1-1,1,1,2.7,3.4,2.6,257,x,1,1,1,3,0
3,BUR,BRE,1-0,3,0,2.8,3.35,2.6,332,1,1,2,1,4,1
4,CHE,ARS,2-1,3,1,2.19,3.85,3.05,33,1,6,1,2,9,1
5,EVE,WHU,0-0,0,0,2.5,3.5,2.8,287,x,2,2,0,4,0
6,FUL,TOT,1-0,2,1,3.25,3.8,2.1,108,1,3,0,5,8,1
7,LIV,AST,0-0,0,1,2.0,4.1,3.3,138,2,1,1,2,4,1
8,LUT,MUN,0-2,1,3,4.3,4.15,1.74,93,2,2,1,2,5,1
9,MCI,SHU,1-1,1,1,1.33,5.5,8.75,298,x,4,2,0,6,0
10,NOT,CRY,0-0,1,1,2.55,3.75,2.6,123,x,0,2,2,4,0
1,BHA,AST,0-0,0,1,2.08,3.75,3.35,193,2,6,1,3,10,1
2,BOU,LIV,0-1,0,1,4.05,4.15,1.8,333,2,1,1,2,4,1
3,BRE,SHU,1-0,2,0,1.83,3.65,4.45,2,1,4,0,0,4,1
4,CRY,FUL,1-1,1,1,1.9,3.85,3.85,137,x,2,1,3,6,0
5,EVE,NEW,1-1,2,1,2.8,3.55,2.45,194,1,3,0,2,5,1
6,MCI,LUT,1-0,3,0,1.3,5.75,9.5,55,1,6,0,0,6,1
7,MUN,ARS,1-0,3,0,2.16,4.05,3.0,262,1,4,2,1,7,1
8,NOT,CHE,1-1,2,1,3.75,4.0,1.9,371,1,1,1,0,2,1
9,WHU,BUR,0-0,0,0,1.6,4.2,5.5,226,x,3,3,0,6,0
10,WOL,TOT,0-0,0,0,3.0,3.65,2.3,216,x,2,1,4,7,0
1,ARS,MCI,2-0,3,3,2.2,3.95,2.95,60,x,1,3,7,11,0
2,AST,EVE,1-0,2,2,1.82,3.8,4.25,98,x,4,1,1,6,0
3,BOU,BHA,0-1,1,2,4.05,3.75,1.88,71,2,1,0,4,5,1
4,BRE,LUT,0-1,1,1,1.76,3.75,4.75,118,x,3,3,2,8,0
5,BUR,NEW,1-2,2,5,3.85,3.8,1.92,119,2,2,2,4,8,1
6,CHE,CRY,0-0,0,1,1.65,4.2,4.9,74,2,4,0,1,5,1
7,FUL,WOL,0-2,2,2,2.35,3.55,3.0,15,x,3,3,1,7,0
8,NOT,MUN,0-1,2,1,3.7,4.2,1.86,343,1,3,1,3,7,1
9,TOT,LIV,1-3,2,4,2.1,4.1,3.05,18,2,2,2,3,7,1
10,WHU,SHU,2-0,3,1,1.58,4.2,5.5,104,1,4,0,1,5,1
1,BHA,TOT,1-0,1,1,2.09,3.8,3.3,295,x,0,4,0,4,0
2,BRE,ARS,0-1,2,3,3.15,3.6,2.21,170,2,2,3,2,7,1
3,BUR,AST,0-0,0,0,3.65,3.7,1.99,52,x,2,3,0,5,0
4,EVE,BOU,0-0,0,0,1.74,3.8,4.8,4,x,4,4,0,8,0
5,FUL,CHE,1-0,1,0,3.5,3.8,2.0,245,1,3,0,2,5,1
6,LIV,WOL,1-0,3,0,1.58,4.55,5.25,362,1,4,1,0,5,1
7,LUT,WHU,1-0,2,1,3.55,3.65,2.04,5,1,1,1,5,7,1
8,MUN,CRY,0-1,2,2,1.62,4.45,4.85,37,x,3,3,0,6,0
9,NEW,SHU,1-0,1,1,1.45,4.65,7.0,109,x,2,2,2,6,0
10,NOT,MCI,1-2,3,4,4.3,4.3,1.72,275,2,2,0,5,7,1
1,AST,SHU,2-0,3,0,1.49,4.5,6.5,290,1,5,0,0,5,1
2,BHA,WOL,1-1,3,1,1.65,4.05,5.0,116,1,4,0,0,4,1
3,BUR,BOU,0-1,2,1,2.13,3.5,3.45,370,1,2,0,2,4,1
4,CHE,MUN,0-0,1,1,2.06,4.0,3.2,286,x,1,1,1,3,0
5,EVE,TOT,1-0,1,1,2.75,3.55,2.5,45,x,2,3,2,7,0
6,FUL,LIV,0-1,0,3,3.35,4.1,2.0,54,2,1,2,4,7,1
7,MCI,CRY,1-1,1,1,1.52,4.65,5.75,372,x,1,1,0,2,0
8,NEW,LUT,0-0,1,1,1.41,4.9,7.5,324,x,3,2,0,5,0
9,NOT,BRE,2-0,3,0,2.6,3.55,2.65,56,1,4,2,1,7,1
10,WHU,ARS,2-0,2,2,2.6,3.75,2.55,19,x,3,2,2,7,0
1,AST,LUT,2-0,4,0,1.45,4.65,7.0,204,1,3,2,1,6,1
2,BHA,LIV,0-1,0,2,2.08,4.0,3.15,161,2,4,1,2,7,1
3,BRE,CRY,0-1,2,3,2.21,3.5,3.25,285,2,2,1,3,6,1
4,BUR,TOT,1-1,3,2,3.7,3.8,1.95,162,1,3,1,3,7,1
5,MCI,CHE,0-0,0,4,1.91,4.05,3.65,150,2,1,2,2,5,1
6,MUN,FUL,2-0,3,0,1.47,4.9,6.0,122,1,7,0,0,7,1
7,NEW,ARS,1-0,1,3,2.25,3.8,2.95,266,2,3,1,3,7,1
8,NOT,WHU,1-1,2,2,3.1,3.75,2.19,267,x,3,1,1,5,0
9,SHU,BOU,0-0,1,1,2.18,3.45,3.35,48,x,2,4,1,7,0
10,WOL,EVE,0-1,0,1,2.45,3.4,2.95,182,2,4,2,5,11,1
1,AST,ARS,0-2,1,3,2.35,3.75,2.8,335,2,1,2,1,4,1
2,BOU,LUT,2-1,2,2,2.17,3.5,3.35,135,x,2,1,5,8,0
3,CHE,BRE,1-0,3,1,1.69,4.0,4.9,163,1,5,1,0,6,1
4,CRY,WHU,0-0,2,0,2.5,3.6,2.7,219,1,4,1,1,6,1
5,EVE,LIV,0-0,0,0,2.75,3.8,2.4,308,x,2,1,1,4,0
6,FUL,BHA,1-0,3,1,3.4,3.7,2.08,260,1,3,1,3,7,1
7,MUN,MCI,1-1,3,3,2.3,4.05,2.75,46,x,1,2,2,5,0
8,NOT,NEW,0-0,1,1,3.6,3.95,1.94,47,x,2,1,4,7,0
9,SHU,TOT,2-0,4,2,3.8,3.8,1.93,181,1,2,0,3,5,1
10,WOL,BUR,3-1,3,2,1.91,3.65,4.0,9,1,1,2,3,6,1
1,ARS,CHE,1-1,2,1,2.03,3.9,3.35,124,1,4,1,1,6,1
2,BHA,CRY,1-1,1,1,1.71,4.05,4.65,356,x,4,2,1,7,0
3,BRE,BOU,0-1,1,1,1.8,3.7,4.6,178,x,3,2,3,8,0
4,LIV,BUR,0-1,0,1,1.41,5.25,7.0,127,2,3,1,1,5,1
5,MCI,WOL,0-1,0,1,1.48,4.7,6.25,76,2,4,4,1,9,1
6,MUN,FUL,4-2,5,3,1.47,4.9,6.0,122,1,7,0,0,7,1
7,NEW,AST,1-0,1,0,2.05,3.8,3.35,320,1,2,2,2,6,1
8,NOT,LUT,0-1,1,1,1.95,3.8,3.7,185,x,3,2,3,8,0
9,TOT,SHU,1-1,2,1,1.47,4.65,6.5,86,1,4,1,1,6,1
10,WHU,EVE,0-0,3,2,1.96,3.65,3.8,347,1,4,0,1,5,1
1,AST,LUT,0-0,3,1,1.45,4.65,7.0,204,1,3,2,1,6,1
2,BHA,NOT,0-0,1,1,1.48,4.7,6.25,62,x,4,3,1,8,0
3,BOU,CHE,0-2,1,3,4.2,3.85,1.82,88,2,2,2,5,9,1
4,BRE,NEW,1-0,2,0,2.95,3.5,2.4,12,1,2,1,2,5,1
5,EVE,BUR,2-0,3,1,1.79,3.75,4.55,368,1,4,0,0,4,1
6,FUL,ARS,0-2,0,2,3.7,3.95,1.92,235,2,2,0,3,5,1
7,MCI,TOT,2-0,3,3,1.82,4.15,3.9,341,x,1,2,0,3,0
8,MUN,WHU,1-0,1,1,1.83,4.15,3.85,280,x,3,1,1,5,0
9,SHU,LIV,2-1,2,4,3.9,4.1,1.83,196,2,3,1,4,8,1
10,WOL,CRY,0-1,0,4,2.3,3.55,3.0,69,2,5,2,1,8,1
1,ARS,WHU,1-0,2,0,1.79,4.05,4.15,366,1,1,1,1,3,1
2,AST,BHA,0-0,2,0,2.22,3.7,3.1,21,1,2,1,1,4,1
3,BOU,FUL,0-0,0,2,2.5,3.5,2.8,210,2,2,3,2,7,1
4,BRE,CHE,1-2,1,2,3.0,3.55,2.3,230,2,1,0,3,4,1
5,EVE,SHU,1-0,3,0,1.77,3.75,4.7,327,1,2,0,2,4,1
6,LIV,MCI,2-0,3,0,2.35,4.15,2.65,173,1,2,1,1,4,1
7,LUT,NEW,0-0,0,1,4.2,3.85,1.82,306,2,0,0,3,3,1
8,MUN,BUR,2-0,4,1,1.41,5.0,7.0,319,1,6,0,0,6,1
9,TOT,CRY,0-0,1,0,1.71,4.15,4.5,103,1,7,0,0,7,1
10,WOL,NOT,0-0,1,1,1.93,3.8,3.75,152,x,2,2,2,6,0
1,BOU,MCI,0-2,1,6,4.85,4.2,1.66,22,2,1,2,3,6,1
2,CHE,BUR,2-1,4,1,1.44,4.75,7.0,240,1,3,1,0,4,1
3,CRY,ARS,1-0,3,1,3.1,3.8,2.18,164,1,2,2,3,7,1
4,EVE,AST,2-4,3,4,2.7,3.5,2.55,220,2,3,1,3,7,1
5,FUL,WHU,1-1,2,2,2.9,3.65,2.35,147,x,1,4,2,7,0
6,LUT,LIV,2-2,3,4,4.15,4.2,1.76,236,2,2,0,2,4,1
7,NEW,WOL,0-0,1,1,1.63,4.15,5.25,140,x,5,1,2,8,0
8,NOT,MUN,0-0,2,1,3.7,4.2,1.86,343,1,3,1,3,7,1
9,SHU,BRE,0-0,1,1,2.85,3.35,2.55,284,x,2,2,2,6,0
10,TOT,BHA,0-1,0,1,2.18,3.75,3.15,8,2,4,1,2,7,1
1,ARS,LUT,0-0,1,0,1.35,5.25,8.5,20,1,6,1,0,7,1
2,BRE,SHU,1-1,3,2,1.83,3.65,4.45,2,1,4,0,0,4,1
3,CHE,TOT,0-1,0,1,2.01,3.9,3.4,120,2,2,2,3,7,1
4,CRY,NEW,0-0,3,0,2.85,3.7,2.35,276,1,3,3,1,7,1
5,EVE,AST,1-0,1,0,2.7,3.5,2.55,220,1,3,1,3,7,1
6,LIV,WHU,0-0,0,1,1.85,4.2,3.75,241,2,0,0,3,3,1
7,MCI,BUR,1-0,1,0,1.34,5.5,8.5,101,1,4,1,1,6,1
8,MUN,BOU,2-0,4,1,1.38,5.25,7.5,184,1,2,0,0,2,1
9,NOT,FUL,0-1,0,2,2.23,3.75,3.0,272,2,4,1,2,7,1
10,WOL,BHA,0-0,0,1,3.1,3.55,2.25,360,2,1,0,2,3,1
1,BRE,CHE,0-1,2,1,3.0,3.55,2.3,230,1,1,0,3,4,1
2,BUR,BHA,0-2,0,5,3.8,3.7,1.94,373,2,1,0,2,3,1
3,CRY,BOU,0-1,0,2,1.74,3.9,4.65,126,2,3,3,1,7,1
4,EVE,NOT,1-0,1,0,1.8,3.9,4.25,83,1,2,0,1,3,1
5,LUT,AST,1-1,1,1,4.0,3.75,1.89,84,x,1,4,1,6,0
6,MCI,FUL,0-0,2,1,1.39,5.25,7.25,183,1,4,2,0,6,1
7,MUN,LIV,0-1,1,2,1.97,4.35,3.25,179,2,3,1,2,6,1
8,NEW,TOT,1-1,2,1,2.06,3.85,3.3,310,1,2,2,0,4,1
9,WHU,ARS,0-1,2,1,2.6,3.75,2.55,19,1,3,2,2,7,1
10,WOL,SHU,1-3,1,4,1.89,3.65,4.1,348,2,1,2,1,4,1
1,ARS,LIV,1-1,1,3,1.91,4.25,3.5,337,2,1,0,3,4,1
2,BHA,FUL,0-0,0,1,1.55,4.4,5.75,42,2,2,1,1,4,1
3,BOU,TOT,0-0,1,0,3.9,3.8,1.89,32,1,3,1,3,7,1
4,BRE,NEW,0-0,0,0,2.95,3.5,2.4,12,x,2,1,2,5,0
5,EVE,MCI,3-1,4,2,3.25,3.7,2.14,34,1,3,2,3,8,1
6,MUN,CRY,1-1,2,2,1.62,4.45,4.85,37,x,3,3,0,6,0
7,NOT,LUT,1-1,2,1,1.95,3.8,3.7,185,1,3,2,3,8,1
8,SHU,BUR,0-1,1,1,2.25,3.45,3.2,215,x,0,4,0,4,0
9,WHU,AST,1-1,3,2,2.35,3.65,2.9,79,1,4,4,0,8,1
10,WOL,CHE,0-0,0,1,3.2,3.65,2.17,198,2,0,2,2,4,1
1,ARS,AST,2-0,2,2,1.92,3.95,3.65,87,x,2,2,3,7,0
2,BHA,EVE,2-1,5,1,1.78,3.8,4.45,297,1,3,0,1,4,1
3,BRE,BOU,0-0,2,3,1.8,3.7,4.6,178,2,3,2,3,8,1
4,BUR,CHE,0-2,0,2,4.0,3.8,1.88,64,2,0,3,5,8,1
5,LIV,CRY,1-0,3,1,1.63,4.5,4.7,213,1,6,2,0,8,1
6,LUT,MCI,1-1,2,1,5.0,4.25,1.63,288,1,1,2,4,7,1
7,NEW,WOL,1-0,1,0,1.63,4.15,5.25,140,1,5,1,2,8,1
8,SHU,FUL,2-0,3,0,2.45,3.5,2.85,95,1,1,1,2,4,1
9,TOT,MUN,2-0,2,1,2.17,4.0,3.0,58,1,5,0,1,6,1
10,WHU,NOT,3-0,3,0,1.6,4.35,5.25,233,1,2,1,0,3,1
1,AST,LIV,0-0,0,1,2.14,4.05,3.05,30,2,2,1,2,5,1
2,BRE,MUN,0-2,0,2,2.95,3.7,2.3,351,2,1,1,3,5,1
3,BUR,NEW,0-0,1,0,3.85,3.8,1.92,119,1,2,2,4,8,1
4,CHE,FUL,2-0,3,0,1.5,4.6,6.0,206,1,3,0,1,4,1
5,CRY,TOT,1-1,1,2,2.8,3.7,2.4,258,2,1,2,2,5,1
6,EVE,SHU,0-2,0,2,1.77,3.75,4.7,327,2,2,0,2,4,1
7,LUT,BHA,1-0,1,0,4.15,3.8,1.85,128,1,3,2,1,6,1
8,MCI,WHU,2-1,3,3,1.7,4.25,4.5,190,x,1,2,1,4,0
9,NOT,ARS,0-0,0,1,3.95,4.1,1.82,357,2,3,0,1,4,1
10,WOL,BOU,1-0,1,1,1.85,3.7,4.25,227,x,3,2,0,5,0
1,ARS,MCI,0-2,0,2,2.2,3.95,2.95,60,2,1,3,7,11,1
2,BHA,WHU,0-1,1,1,1.94,3.8,3.75,294,x,2,1,0,3,0
3,BRE,CRY,1-0,1,0,2.21,3.5,3.25,285,1,2,1,3,6,1
4,BUR,BOU,0-1,0,1,2.13,3.5,3.45,370,2,2,0,2,4,1
5,EVE,CHE,1-0,1,0,2.9,3.55,2.4,14,1,1,1,3,5,1
6,FUL,NEW,0-0,0,0,3.4,3.8,2.05,221,x,0,1,4,5,0
7,LIV,TOT,2-0,2,0,2.01,4.15,3.25,374,1,1,0,0,1,1
8,MUN,WOL,2-0,2,0,1.57,4.5,5.5,26,1,6,1,1,8,1
9,NOT,AST,0-0,0,0,3.4,3.85,2.02,352,x,0,2,1,3,0
10,SHU,LUT,1-0,1,1,2.13,3.5,3.45,268,x,1,2,0,3,0
1,AST,MCI,1-1,2,1,2.5,3.8,2.6,10,1,3,2,2,7,1
2,BHA,ARS,2-0,4,1,2.3,3.75,2.95,177,1,3,0,1,4,1
3,BUR,MUN,0-3,0,3,3.95,4.05,1.84,273,2,1,2,3,6,1
4,CHE,LUT,2-0,5,0,1.39,5.0,7.75,100,1,5,1,1,7,1
5,CRY,WOL,2-0,2,2,2.05,3.65,3.5,82,x,0,2,1,3,0
6,EVE,NEW,1-0,1,0,2.8,3.55,2.45,194,1,3,0,2,5,1
7,FUL,BOU,0-3,2,4,1.94,3.7,3.85,250,2,2,2,2,6,1
8,NOT,LIV,0-0,0,0,3.55,4.25,1.88,78,x,1,4,2,7,0
9,SHU,WHU,1-1,2,2,3.4,3.6,2.12,28,x,0,2,3,5,0
10,TOT,BRE,1-0,2,1,1.75,3.9,4.55,224,1,3,0,1,4,1
1,ARS,SHU,2-3,3,3,1.39,5.0,7.75,293,x,1,2,0,3,0
2,BHA,AST,2-1,3,3,2.08,3.75,3.35,193,x,6,1,3,10,0
3,BRE,LIV,0-1,0,3,2.85,3.8,2.3,244,2,2,0,3,5,1
4,CRY,BUR,0-0,1,0,1.79,3.85,4.35,13,1,4,3,2,9,1
5,EVE,BOU,2-0,3,2,1.74,3.8,4.8,4,1,4,4,0,8,1
6,FUL,MUN,0-2,0,4,3.45,4.0,1.97,195,2,0,2,3,5,1
7,MCI,NOT,4-1,6,1,1.34,5.75,8.0,94,1,4,1,1,6,1
8,NEW,LUT,3-0,4,0,1.41,4.9,7.5,324,1,3,2,0,5,1
9,WHU,CHE,1-1,1,1,2.5,3.65,2.7,355,x,1,2,1,4,0
10,WOL,TOT,1-1,3,1,3.0,3.65,2.3,216,1,2,1,4,7,1
1,BHA,NOT,0-0,1,1,1.48,4.7,6.25,62,x,4,3,1,8,0
2,BOU,LUT,0-1,0,1,2.17,3.5,3.35,135,2,2,1,5,8,1
3,BRE,WOL,0-0,3,0,2.12,3.45,3.5,282,1,5,2,2,9,1
4,CHE,ARS,2-1,2,1,2.19,3.85,3.05,33,1,6,1,2,9,1
5,FUL,CRY,0-1,2,1,2.45,3.65,2.75,346,1,2,0,1,3,1
6,LIV,MCI,0-0,1,4,2.35,4.15,2.65,173,2,2,1,1,4,1
7,MUN,EVE,1-0,1,0,1.69,4.2,4.65,130,1,4,1,1,6,1
8,NEW,WHU,1-0,1,1,1.91,3.9,3.75,168,x,2,2,2,6,0
9,SHU,AST,2-0,3,0,3.75,3.7,1.96,158,1,3,0,3,6,1
10,TOT,BUR,0-2,1,2,1.48,4.6,6.5,197,2,1,2,3,6,1
1,AST,CHE,1-1,2,2,2.3,3.75,2.95,41,x,0,3,3,6,0
2,BOU,WHU,0-0,0,2,3.45,3.6,2.08,322,2,0,1,2,3,1
3,BRE,BUR,0-0,1,0,1.85,3.65,4.35,23,1,3,1,3,7,1
4,CRY,EVE,0-1,1,1,2.25,3.55,3.15,25,x,5,1,0,6,0
5,FUL,TOT,0-2,1,4,3.25,3.8,2.1,108,2,3,0,5,8,1
6,LIV,WOL,3-0,3,0,1.58,4.55,5.25,362,1,4,1,0,5,1
7,MCI,BHA,1-2,2,3,1.88,4.0,3.8,237,2,1,1,2,4,1
8,MUN,LUT,0-0,3,0,1.36,5.5,8.0,291,1,5,0,0,5,1
9,NEW,ARS,0-2,1,3,2.25,3.8,2.95,266,2,3,1,3,7,1
10,SHU,NOT,1-0,2,3,2.3,3.65,3.0,141,2,1,2,2,5,1
1,ARS,BOU,0-0,1,1,1.37,5.25,8.25,217,x,1,2,0,3,0
2,BUR,WOL,2-0,3,1,2.6,3.45,2.7,155,1,4,1,2,7,1
3,CHE,NOT,2-0,3,0,1.44,4.95,6.75,171,1,4,1,2,7,1
4,EVE,TOT,1-0,1,1,2.75,3.55,2.5,45,x,2,3,2,7,0
5,FUL,BRE,0-0,1,2,2.5,3.45,2.8,35,2,2,3,1,6,1
6,LIV,BHA,0-2,0,4,2.07,4.0,3.15,232,2,4,3,1,8,1
7,LUT,CRY,2-1,3,1,2.95,3.55,2.35,149,1,2,3,1,6,1
8,MCI,SHU,1-0,1,1,1.33,5.5,8.75,298,x,4,2,0,6,0
9,MUN,WHU,1-1,2,1,1.83,4.15,3.85,280,1,3,1,1,5,1
10,NEW,AST,0-0,1,0,2.05,3.8,3.35,320,1,2,2,2,6,1
1,AST,BOU,1-0,1,0,1.47,4.55,6.75,229,1,3,2,0,5,1
2,BHA,SHU,0-1,0,3,1.47,4.55,6.75,218,2,5,0,1,6,1
3,BRE,EVE,1-2,1,2,2.3,3.35,3.15,72,2,5,4,1,10,1
4,BUR,LIV,0-0,1,2,3.8,4.1,1.86,43,2,0,1,4,5,1
5,CHE,MCI,0-1,0,2,2.3,3.85,2.8,211,2,1,2,2,5,1
6,FUL,WOL,0-0,1,3,2.35,3.55,3.0,15,2,3,3,1,7,1
7,LUT,TOT,1-2,1,4,4.05,3.85,1.85,328,2,0,1,4,5,1
8,MUN,ARS,0-0,1,0,2.16,4.05,3.0,262,1,4,2,1,7,1
9,NEW,NOT,1-2,3,2,1.46,4.85,6.25,365,1,2,1,2,5,1
10,WHU,CRY,0-0,1,0,1.88,3.85,3.95,159,1,3,2,1,6,1
1,AST,MUN,1-0,2,0,2.21,3.95,2.95,361,1,1,2,2,5,1
2,BHA,CHE,1-1,1,2,2.21,3.7,3.1,367,2,0,2,1,3,1
3,BRE,LUT,0-1,1,1,1.76,3.75,4.75,118,x,3,3,2,8,0
4,CRY,ARS,1-1,2,4,3.1,3.8,2.18,164,2,2,2,3,7,1
5,FUL,BUR,1-0,3,3,2.0,3.7,3.65,172,x,2,2,1,5,0
6,LIV,SHU,1-1,1,1,1.4,5.25,7.0,261,x,6,3,0,9,0
7,MCI,NEW,0-1,4,1,1.87,4.1,3.75,85,1,4,1,1,6,1
8,NOT,BOU,3-0,4,0,1.99,3.75,3.6,364,1,3,0,1,4,1
9,TOT,WHU,0-2,1,3,1.95,3.85,3.65,142,2,2,1,2,5,1
10,WOL,EVE,0-1,2,1,2.45,3.4,2.95,182,1,4,2,5,11,1
1,AST,CRY,2-0,4,0,1.75,4.05,4.45,1,1,3,0,1,4,1
2,BOU,MCI,0-0,0,3,4.85,4.2,1.66,22,2,1,2,3,6,1
3,BRE,WHU,1-0,2,0,2.6,3.45,2.7,89,1,3,0,4,7,1
4,CHE,SHU,1-0,1,0,1.43,4.75,7.25,350,1,4,0,1,5,1
5,EVE,BUR,2-0,3,1,1.79,3.75,4.55,368,1,4,0,0,4,1
6,LIV,FUL,0-0,3,0,1.48,4.95,6.0,375,1,3,0,0,3,1
7,LUT,WOL,0-0,1,2,2.8,3.45,2.55,36,2,2,2,2,6,1
8,NEW,BHA,1-0,2,0,2.13,3.75,3.25,344,1,1,0,2,3,1
9,NOT,MUN,0-0,0,0,3.7,4.2,1.86,343,x,3,1,3,7,0
10,TOT,ARS,1-0,1,3,2.3,3.85,2.85,209,2,2,0,2,4,1
1,ARS,WOL,2-0,5,0,1.55,4.45,5.75,40,1,2,2,0,4,1
2,AST,BRE,0-2,1,4,1.78,3.8,4.45,325,2,2,0,1,3,1
3,BUR,WHU,1-0,1,0,3.3,3.6,2.16,111,1,3,1,3,7,1
4,CHE,NEW,1-0,2,1,2.07,3.85,3.3,3,1,4,0,0,4,1
5,FUL,LUT,1-2,1,3,1.9,3.75,3.95,340,2,4,1,1,6,1
6,LIV,EVE,1-1,1,3,1.7,4.25,4.5,376,2,0,0,1,1,1
7,MCI,CRY,0-0,1,0,1.52,4.65,5.75,372,1,1,1,0,2,1
8,MUN,BHA,1-0,1,1,2.04,3.95,3.3,174,x,4,3,3,10,0
9,SHU,BOU,0-2,0,3,2.18,3.45,3.35,48,2,2,4,1,7,1
10,TOT,NOT,1-3,2,3,1.48,4.8,6.0,29,2,2,4,1,7,1
1,AST,WOL,1-0,2,1,1.69,4.05,4.85,160,1,2,1,1,4,1
2,BHA,CRY,3-0,5,1,1.71,4.05,4.65,356,1,4,2,1,7,1
3,BRE,NOT,0-3,0,3,1.86,3.8,4.05,125,2,2,0,2,4,1
4,BUR,ARS,0-0,0,0,4.2,3.95,1.8,349,x,2,1,1,4,0
5,CHE,BOU,0-0,1,0,1.41,4.85,7.5,274,1,3,1,0,4,1
6,EVE,LUT,2-0,3,0,1.71,3.85,4.95,165,1,5,3,0,8,1
7,MUN,SHU,1-0,2,0,1.4,5.25,7.25,167,1,5,0,1,6,1
8,NEW,LIV,2-0,3,1,2.05,4.1,3.2,330,1,3,0,2,5,1
9,TOT,MCI,1-0,1,0,2.45,3.9,2.65,281,1,2,1,2,5,1
10,WHU,FUL,1-0,2,0,1.68,4.1,4.8,339,1,3,1,0,4,1
1,AST,EVE,0-0,4,2,1.82,3.8,4.25,98,1,4,1,1,6,1
2,BRE,ARS,0-0,0,2,3.15,3.6,2.21,170,2,2,3,2,7,1
3,CHE,NOT,0-1,0,2,1.44,4.95,6.75,171,2,4,1,2,7,1
4,CRY,BHA,2-2,2,3,2.85,3.65,2.4,91,2,2,3,1,6,1
5,LIV,SHU,4-1,4,1,1.4,5.25,7.0,261,1,6,3,0,9,1
6,LUT,MCI,0-1,0,5,5.0,4.25,1.63,288,2,1,2,4,7,1
7,MUN,FUL,2-0,5,1,1.47,4.9,6.0,122,1,7,0,0,7,1
8,NEW,WHU,0-0,0,2,1.91,3.9,3.75,168,2,2,2,2,6,1
9,TOT,BOU,3-0,3,1,1.45,4.7,7.0,307,1,2,1,0,3,1
